,X.1,scientificName,id,institutionCode,collectionCode,basisOfRecord,occurrenceID,X,kingdom,phylum,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File.Name,Notes,Quality,Chemistry,Chemistry.Author,Source,Family,Order,Class,Morphology,Photobiont,name,spectra_ID
21286.1900_0003,6,Acarospora americana,NA,,,,,21286,,,,,,"Fink, B.",251,,1900,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,21286.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21286.19,21286.1900_0003
846958.1990_0000,7,Acarospora americana,NA,,,,,846958,,,,,,"Schuster, J.",2574,,1990,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,846958.199,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,846958.199,846958.1990_0000
846958.1990_0001,7,Acarospora americana,NA,,,,,846958,,,,,,"Schuster, J.",2574,,1990,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,846958.199,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,846958.199,846958.1990_0001
846958.1990_0002,7,Acarospora americana,NA,,,,,846958,,,,,,"Schuster, J.",2574,,1990,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,846958.199,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,846958.199,846958.1990_0002
846958.1990_0003,7,Acarospora americana,NA,,,,,846958,,,,,,"Schuster, J.",2574,,1990,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,846958.199,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,846958.199,846958.1990_0003
675773.1976_0000,8,Acarospora americana,NA,,,,,675773,,,,,,"Wetmore, C.",26247,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675773.1976,,,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,675773.1976,675773.1976_0000
675773.1976_0001,8,Acarospora americana,NA,,,,,675773,,,,,,"Wetmore, C.",26247,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675773.1976,,,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,675773.1976,675773.1976_0001
675773.1976_0002,8,Acarospora americana,NA,,,,,675773,,,,,,"Wetmore, C.",26247,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675773.1976,,,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,675773.1976,675773.1976_0002
675773.1976_0003,8,Acarospora americana,NA,,,,,675773,,,,,,"Wetmore, C.",26247,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675773.1976,,,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,675773.1976,675773.1976_0003
889790.2001_0000,9,Acarospora americana,NA,,,,,889790,,,,,,"Reschke, C.",1186,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,889790.2001,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,889790.2001,889790.2001_0000
889790.2001_0001,9,Acarospora americana,NA,,,,,889790,,,,,,"Reschke, C.",1186,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,889790.2001,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,889790.2001,889790.2001_0001
889790.2001_0002,9,Acarospora americana,NA,,,,,889790,,,,,,"Reschke, C.",1186,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,889790.2001,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,889790.2001,889790.2001_0002
889790.2001_0003,9,Acarospora americana,NA,,,,,889790,,,,,,"Reschke, C.",1186,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,889790.2001,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,889790.2001,889790.2001_0003
785210.1986_0000,12,Baeomyces rufus,NA,,,,,785210,,,,,,"Wetmore, C.",57293,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,785210.1986,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,785210.1986,785210.1986_0000
785210.1986_0001,12,Baeomyces rufus,NA,,,,,785210,,,,,,"Wetmore, C.",57293,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,785210.1986,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,785210.1986,785210.1986_0001
785210.1986_0002,12,Baeomyces rufus,NA,,,,,785210,,,,,,"Wetmore, C.",57293,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,785210.1986,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,785210.1986,785210.1986_0002
785210.1986_0003,12,Baeomyces rufus,NA,,,,,785210,,,,,,"Wetmore, C.",57293,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,785210.1986,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,785210.1986,785210.1986_0003
887072.2005_0000,14,Baeomyces rufus,NA,,,,,887072,,,,,,"Wetmore, C.",94506,,2005,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887072.2005,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,887072.2005,887072.2005_0000
887072.2005_0001,14,Baeomyces rufus,NA,,,,,887072,,,,,,"Wetmore, C.",94506,,2005,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887072.2005,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,887072.2005,887072.2005_0001
887072.2005_0002,14,Baeomyces rufus,NA,,,,,887072,,,,,,"Wetmore, C.",94506,,2005,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887072.2005,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,887072.2005,887072.2005_0002
887072.2005_0003,14,Baeomyces rufus,NA,,,,,887072,,,,,,"Wetmore, C.",94506,,2005,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887072.2005,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,887072.2005,887072.2005_0003
854486.1974_0000,16,Baeomyces rufus,NA,,,,,854486,,,,,,"Wetmore, C.",22793,,1974,NA,NA,NA,,on roadside bank,,,,,NA,NA,NA,,,NA,,,854486.1974,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,854486.1974,854486.1974_0000
854486.1974_0001,16,Baeomyces rufus,NA,,,,,854486,,,,,,"Wetmore, C.",22793,,1974,NA,NA,NA,,on roadside bank,,,,,NA,NA,NA,,,NA,,,854486.1974,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,854486.1974,854486.1974_0001
854486.1974_0002,16,Baeomyces rufus,NA,,,,,854486,,,,,,"Wetmore, C.",22793,,1974,NA,NA,NA,,on roadside bank,,,,,NA,NA,NA,,,NA,,,854486.1974,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,854486.1974,854486.1974_0002
854486.1974_0003,16,Baeomyces rufus,NA,,,,,854486,,,,,,"Wetmore, C.",22793,,1974,NA,NA,NA,,on roadside bank,,,,,NA,NA,NA,,,NA,,,854486.1974,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,854486.1974,854486.1974_0003
873051.2001_0000,18,Baeomyces rufus,NA,,,,,873051,,,,,,"Wetmore, C.",87018,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,873051.2001,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,873051.2001,873051.2001_0000
873051.2001_0001,18,Baeomyces rufus,NA,,,,,873051,,,,,,"Wetmore, C.",87018,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,873051.2001,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,873051.2001,873051.2001_0001
873051.2001_0002,18,Baeomyces rufus,NA,,,,,873051,,,,,,"Wetmore, C.",87018,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,873051.2001,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,873051.2001,873051.2001_0002
873051.2001_0003,18,Baeomyces rufus,NA,,,,,873051,,,,,,"Wetmore, C.",87018,,2001,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,873051.2001,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,873051.2001,873051.2001_0003
868966.1999_0000,19,Baeomyces rufus,NA,,,,,868966,,,,,,"Wetmore, C.",83722,,1999,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,868966.1999,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,868966.1999,868966.1999_0000
868966.1999_0001,19,Baeomyces rufus,NA,,,,,868966,,,,,,"Wetmore, C.",83722,,1999,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,868966.1999,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,868966.1999,868966.1999_0001
868966.1999_0002,19,Baeomyces rufus,NA,,,,,868966,,,,,,"Wetmore, C.",83722,,1999,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,868966.1999,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,868966.1999,868966.1999_0002
868966.1999_0003,19,Baeomyces rufus,NA,,,,,868966,,,,,,"Wetmore, C.",83722,,1999,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,868966.1999,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,868966.1999,868966.1999_0003
675817.1976_0000,23,Baeomyces rufus,NA,,,,,675817,,,,,,"Wetmore, C.",26354,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675817.1976,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,675817.1976,675817.1976_0000
675817.1976_0001,23,Baeomyces rufus,NA,,,,,675817,,,,,,"Wetmore, C.",26354,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675817.1976,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,675817.1976,675817.1976_0001
675817.1976_0002,23,Baeomyces rufus,NA,,,,,675817,,,,,,"Wetmore, C.",26354,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675817.1976,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,675817.1976,675817.1976_0002
675817.1976_0003,23,Baeomyces rufus,NA,,,,,675817,,,,,,"Wetmore, C.",26354,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675817.1976,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,675817.1976,675817.1976_0003
675817.1976_0004,23,Baeomyces rufus,NA,,,,,675817,,,,,,"Wetmore, C.",26354,,1976,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,675817.1976,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,675817.1976,675817.1976_0004
884895.2004_0000,25,Baeomyces rufus,NA,,,,,884895,,,,,,"Wetmore, C.",92501,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,884895.2004,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,884895.2004,884895.2004_0000
884895.2004_0001,25,Baeomyces rufus,NA,,,,,884895,,,,,,"Wetmore, C.",92501,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,884895.2004,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,884895.2004,884895.2004_0001
884895.2004_0002,25,Baeomyces rufus,NA,,,,,884895,,,,,,"Wetmore, C.",92501,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,884895.2004,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,884895.2004,884895.2004_0002
884895.2004_0003,25,Baeomyces rufus,NA,,,,,884895,,,,,,"Wetmore, C.",92501,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,884895.2004,,,,,,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid,884895.2004,884895.2004_0003
710560.1979_0000,27,Caloplaca flavovirescens,NA,,,,,710560,,,,,,"Brako, L.",1593,,1979,NA,NA,NA,,on rock,,,,,NA,NA,NA,,,NA,,,710560.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710560.1979,710560.1979_0000
710560.1979_0001,27,Caloplaca flavovirescens,NA,,,,,710560,,,,,,"Brako, L.",1593,,1979,NA,NA,NA,,on rock,,,,,NA,NA,NA,,,NA,,,710560.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710560.1979,710560.1979_0001
710560.1979_0002,27,Caloplaca flavovirescens,NA,,,,,710560,,,,,,"Brako, L.",1593,,1979,NA,NA,NA,,on rock,,,,,NA,NA,NA,,,NA,,,710560.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710560.1979,710560.1979_0002
710560.1979_0003,27,Caloplaca flavovirescens,NA,,,,,710560,,,,,,"Brako, L.",1593,,1979,NA,NA,NA,,on rock,,,,,NA,NA,NA,,,NA,,,710560.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710560.1979,710560.1979_0003
721660.1980_0000,28,Caloplaca flavovirescens,NA,,,,,721660,,,,,,"Wetmore, C.",41945,,1980,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,721660.198,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,721660.198,721660.1980_0000
721660.1980_0001,28,Caloplaca flavovirescens,NA,,,,,721660,,,,,,"Wetmore, C.",41945,,1980,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,721660.198,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,721660.198,721660.1980_0001
721660.1980_0002,28,Caloplaca flavovirescens,NA,,,,,721660,,,,,,"Wetmore, C.",41945,,1980,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,721660.198,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,721660.198,721660.1980_0002
721660.1980_0003,28,Caloplaca flavovirescens,NA,,,,,721660,,,,,,"Wetmore, C.",41945,,1980,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,721660.198,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,721660.198,721660.1980_0003
23898.1901_0000,29,Caloplaca flavovirescens,NA,,,,,23898,,,,,,"Fink, B.",1843,,1901,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,23898.1901,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,23898.1901,23898.1901_0000
23898.1901_0001,29,Caloplaca flavovirescens,NA,,,,,23898,,,,,,"Fink, B.",1843,,1901,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,23898.1901,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,23898.1901,23898.1901_0001
23898.1901_0002,29,Caloplaca flavovirescens,NA,,,,,23898,,,,,,"Fink, B.",1843,,1901,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,23898.1901,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,23898.1901,23898.1901_0002
23898.1901_0003,29,Caloplaca flavovirescens,NA,,,,,23898,,,,,,"Fink, B.",1843,,1901,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,23898.1901,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,23898.1901,23898.1901_0003
710491.1979_0000,30,Caloplaca flavovirescens,NA,,,,,710491,,,,,,"Brako, L.",1683,,1979,NA,NA,NA,,on rock of west facing slope,,,,,NA,NA,NA,,,NA,,,710491.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710491.1979,710491.1979_0000
710491.1979_0001,30,Caloplaca flavovirescens,NA,,,,,710491,,,,,,"Brako, L.",1683,,1979,NA,NA,NA,,on rock of west facing slope,,,,,NA,NA,NA,,,NA,,,710491.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710491.1979,710491.1979_0001
710491.1979_0002,30,Caloplaca flavovirescens,NA,,,,,710491,,,,,,"Brako, L.",1683,,1979,NA,NA,NA,,on rock of west facing slope,,,,,NA,NA,NA,,,NA,,,710491.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710491.1979,710491.1979_0002
710491.1979_0003,30,Caloplaca flavovirescens,NA,,,,,710491,,,,,,"Brako, L.",1683,,1979,NA,NA,NA,,on rock of west facing slope,,,,,NA,NA,NA,,,NA,,,710491.1979,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,710491.1979,710491.1979_0003
858414.1997_0000,31,Caloplaca flavovirescens,NA,,,,,858414,,,,,,"Wheeler, G.",17560,,1997,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,858414.1997,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,858414.1997,858414.1997_0000
858414.1997_0001,31,Caloplaca flavovirescens,NA,,,,,858414,,,,,,"Wheeler, G.",17560,,1997,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,858414.1997,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,858414.1997,858414.1997_0001
858414.1997_0002,31,Caloplaca flavovirescens,NA,,,,,858414,,,,,,"Wheeler, G.",17560,,1997,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,858414.1997,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,858414.1997,858414.1997_0002
858414.1997_0003,31,Caloplaca flavovirescens,NA,,,,,858414,,,,,,"Wheeler, G.",17560,,1997,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,858414.1997,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,858414.1997,858414.1997_0003
786476.1986_0000,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0000
786476.1986_0001,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0001
786476.1986_0002,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0002
786476.1986_0003,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0003
786476.1986_0004,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0000
786476.1986_0005,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0001
786476.1986_0006,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0002
786476.1986_0007,32,Caloplaca flavovirescens,NA,,,,,786476,,,,,,"Trana, T.",14100,,1986,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,786476.1986,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,786476.1986,786476.1986_0003
907411.2008_0000,33,Caloplaca flavovirescens,NA,,,,,907411,,,,,,"Wetmore, C.",96982,,2008,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,907411.2008,,,,,,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid,907411.2008,907411.2008_0000
